split,variant,bin,n,mean_y,mean_pred,mean_resid,mae,rmse,sse,sse_share
janjul,A_huber,>60m,775,4792.7445161290325,2566.263568435897,2226.4809476931355,2237.3211385733975,2774.532179674541,5965972332.438409,0.24560695069123448
janjul,B_tailweight,<10m,42436,479.3242294278443,666.9323268707553,-187.6080974429111,197.8388402023407,276.6953043344413,3248912527.57878,0.10623362475595768
janjul,B_tailweight,10-15m,117120,758.1290215163934,918.9535888790401,-160.82456736264675,185.6924425745649,263.3174091791661,8120639110.2461405,0.26553036460459895
janjul,B_tailweight,15-20m,96809,1037.3835077317192,1172.1287569975086,-134.74524926578948,190.7508092636656,272.0350151610059,7164161216.494457,0.2342552493807646
janjul,B_tailweight,20-30m,67541,1414.2929775987918,1477.8224481798575,-63.529470581065404,201.9386944077948,287.42920107530904,5579936567.449216,0.18245393879847163
janjul,B_tailweight,30-45m,12354,2094.679941719281,1963.5700836658932,131.10985805338785,320.07417744413294,430.95038319037053,2294363047.664388,0.07502156521313233
janjul,B_tailweight,45-60m,2011,3033.322227747389,2554.20482025637,479.1174074910194,609.2429558307557,784.7378870398128,1238401051.7763329,0.040493497905846644
janjul,B_tailweight,>60m,775,4792.7445161290325,3647.615250626938,1145.1292655020936,1267.7115148372097,1946.4774285777296,2936300144.470992,0.09601175934122834
janjul,C_twostage,<10m,42436,479.3242294278443,608.4728630110235,-129.14863358317925,148.14190120203722,239.52069078169058,2434560165.4588723,0.07101251623683386
janjul,C_twostage,10-15m,117120,758.1290215163934,859.7030560866037,-101.57403457021044,150.53105601768698,257.075185506943,7740185685.521622,0.22576975893533263
janjul,C_twostage,15-20m,96809,1037.3835077317192,1124.5643457186245,-87.1808379869054,193.5365691302413,308.82797673080023,9233131192.159628,0.26931676941180493
janjul,C_twostage,20-30m,67541,1414.2929775987918,1492.513326630605,-78.22034903181299,267.5262012972135,364.908052458415,8993616828.913761,0.26233048998019914
janjul,C_twostage,30-45m,12354,2094.679941719281,2039.7942294840573,54.88571223522414,282.8016926428273,410.21584548740145,2078894550.7880092,0.06063827673557359
janjul,C_twostage,45-60m,2011,3033.322227747389,2576.850408578925,456.471819168464,574.4134939237779,734.6209085730002,1085272105.2976794,0.03165578082327177
janjul,C_twostage,>60m,775,4792.7445161290325,3637.73355304357,1155.0109630854627,1257.7067990237886,1872.6815663745274,2717875593.005189,0.07927640787698409
dec,baseline,<10m,19314,487.275033654344,592.583005320616,-105.30797166627197,125.58286520682738,175.67814102251074,596084297.5285795,0.06867185081946582
