airport,STAND_mvt,RUNWAY_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
EHAM,C12,18L,153,720.4248366013072,705.3985134707732,15.026323130533978,24.228070966790938,154.51597564129338,110.09702866863528,154.74149457441297,307.13039881794674,3663574.31189783,0.00016428939587694017
LSZH,H13,28,178,444.82022471910113,456.309909611948,-11.489684892846917,-43.32895543099082,143.17736067144656,116.5662871034815,143.236176630831,279.47421016464983,3651955.208655715,0.00016376834859093876
LEMD,T19,36R,132,1235.128787878788,1247.857754722609,-12.728966843820977,-25.54338676338108,166.36597993976494,120.22353780800843,166.22270239881445,319.49554751313883,3647158.2566449577,0.00016355323398405371
LFPG,E40,26R,116,857.0431034482758,872.7877791018562,-15.744675653580542,-33.10453669032353,177.2683865253393,131.45940633286077,177.20349438972488,309.9912694495488,3642525.097175794,0.00016334546449300823
LEMD,70,36L,103,1304.7864077669904,1322.2657437983619,-17.47933603137178,-7.574213038061771,187.940859010202,143.9340662148679,187.8413263951424,355.05972023777446,3634289.481894302,0.00016297614640523882
EDDM,215,26L,100,785.02,750.1899206242,34.83007937579994,3.7205612596326887,187.9251697909511,144.5090878830303,190.19948784335025,393.4163804771914,3617584.517587274,0.00016222702866925222
EDDM,216,26L,125,856.328,875.422364962216,-19.094364962215995,-44.07900152005982,169.10178723413512,133.93653347259394,169.50293774304555,354.53563415692884,3591405.7379403473,0.00016105306697860997
LFPG,X04,27L,149,706.0536912751678,707.3364291324451,-1.2827378572773853,-9.438954441706755,155.70192230784332,115.64108717901429,155.18385461793764,328.72962577078954,3588222.2813780997,0.00016091030799219783
EHAM,C08,24,174,585.7413793103449,593.539526206684,-7.798146896339094,-2.5869587655072905,143.63404476393302,99.14732853055897,143.43284995358962,333.3826288330834,3579698.9455707585,0.0001605280873597142
EDDF,V134,18,200,599.75,606.2668382399611,-6.516838239961172,-16.653300764015427,133.8986834597883,97.33090803717889,133.72240771743932,287.3475335061768,3576336.465149816,0.00016037730022398975
EGLL,327,27R,110,1472.2454545454545,1509.419909640071,-37.17445509461636,-44.238822878888755,177.21990497909184,142.7845208439301,180.28676492645116,387.6166639793239,3575364.9368410003,0.00016033373299009627
EHAM,H02,36L,136,964.6985294117648,993.0072850936515,-28.308755681886723,-22.459193604759662,160.1875459885654,121.31030700402262,162.0887371185001,343.04139130787667,3573095.1832911507,0.0001602319481188891
LSZH,B31,32,167,871.6766467065868,843.767908958212,27.908737748374914,22.579543572682837,143.84610292960178,109.83186362053645,146.10508741169582,297.61851326153925,3564898.326785739,0.00015986436813040882
LSZH,E56,28,126,785.8174603174604,758.8610103498254,26.95644996763507,6.328979705870324,166.66853915358655,120.11329890735476,168.18022663487946,389.2745422727448,3563858.167500887,0.0001598177232077252
LEMD,344,36R,160,1016.875,993.7159649723278,23.159035027672182,4.853614348674569,147.86803923568635,105.14701574415479,149.21341075586383,300.8096246548729,3562342.711903703,0.0001597497640882033
LEBL,214,24L,159,879.62893081761,892.4472544348283,-12.818323617218411,-23.47960583250881,149.50527520970118,116.66540621579702,149.58462222300088,321.328997814499,3557713.9136900636,0.00015954219017338318
EDDM,213,26R,149,747.6845637583892,714.6855020228359,32.99906173555336,10.642833201709323,151.35981121991483,102.71295659644446,154.41817746505566,300.85184936269746,3552901.0562127847,0.000159326362301456
LEMD,565,36L,105,1061.8,1051.9200431388174,9.879956861182398,7.188921689654535,184.52840114587553,132.85715446935592,183.91316348338353,408.3093415103097,3551525.4287589043,0.0001592646736378425
EHAM,B16,24,121,562.9090909090909,563.1612574734789,-0.2521665643880389,2.7858584784655704,171.9281601152469,108.53612359797455,171.21642490479744,406.3838625277957,3547122.7630187967,0.00015906724041195124
EHAM,C14,24,158,579.867088607595,567.4281479726706,12.438940634924366,22.755492095146195,149.78684879947673,108.26454230010013,149.8293251804242,307.37360742065,3546914.616075365,0.00015905790626647505
EDDF,V174,18,143,430.6013986013986,443.1450270574319,-12.543628456033279,-31.230808879985034,157.1788620691726,111.95965735761753,157.1297988830656,281.44421746220905,3530637.6386756683,0.0001583279811834723
LSZH,A13,32,169,719.5443786982248,721.0044620962748,-1.4600833980499266,-5.494729130693486,144.66442311886883,111.10553830981596,144.24317679344077,314.18375339010083,3516229.894697384,0.00015768188003944617
EHAM,D18,36L,130,1203.7307692307693,1215.2445228699926,-11.513753639223353,-21.770671252896477,164.4212981692795,112.82771566440188,164.19187913484237,318.4865055215066,3504666.5125979893,0.00015716333151342496
LFPG,X04,09R,108,753.7870370370371,736.6432532427724,17.143783794264568,18.488497130969563,179.58484468142112,122.73057924513834,179.57173501758777,446.8622089147128,3482568.86586049,0.00015617238422432108
EHAM,G05,24,104,862.9423076923077,881.3659186997751,-18.423611007467375,-20.18542453284232,182.57434194207062,132.4401528846025,182.62613835243644,396.19862119214946,3468639.866590419,0.0001555477519170635
EDDF,A19,18,159,858.0754716981132,866.9162346853177,-8.840762987204505,-28.6370503111757,147.770978230019,111.31346383696898,147.5706139991164,294.5720731659092,3462556.6924561183,0.00015527495794089306
LEMD,362,36R,154,956.1753246753246,948.6119280539327,7.563396621392051,-12.386646599929634,150.13641660499374,109.00473117712698,149.83917643881682,285.78832565020923,3457573.934562883,0.00015505151105149267
EDDF,A25,18,129,861.0852713178294,868.5903747965062,-7.505103478676708,-7.674029352363391,164.10965367792278,122.19287845668542,163.64452322617467,334.0587308374774,3454559.3676679404,0.00015491632575652205
LEBL,120,24L,137,1195.4452554744526,1202.3833744514234,-6.938118976970859,-14.562396571730915,159.2173983514503,124.76745791514617,158.78690003579644,294.2934009777204,3454219.308347988,0.0001549010761299331
LEMD,T29,36R,132,1106.9166666666667,1126.0225716035634,-19.105904936896653,-36.76483202451038,161.21201586967257,113.52110992623456,161.732683528521,316.0075334946342,3452784.8416164475,0.00015483674887663707
LEMD,T9,36R,142,1256.9295774647887,1252.000304189645,4.929273275143588,-1.975491000933971,156.39663701136692,115.11938223301146,155.92290700780538,312.4697295961354,3452297.3160265908,0.00015481488626984565
EDDM,118,26L,137,786.0,797.133615152621,-11.133615152620973,-38.28328461643264,158.82986248201124,121.82334814272419,158.64029898534008,323.4408038231723,3447843.991315659,0.00015461518129210663
EHAM,C08,18L,143,717.6363636363636,701.1649240229805,16.47143961338325,6.336184638720965,154.93719817244656,112.90731329241397,155.2706437923775,302.60488543855007,3447583.1137890117,0.00015460348249535734
EDDM,214,26L,121,793.5454545454545,805.3188950894937,-11.773440544039133,-30.7668150063879,168.82793680517509,113.9287882458906,168.54057440416003,347.04894095995894,3437116.951678589,0.00015413413772331674
