airport,hour,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LIRF,17,1376,1094.7013081395348,1073.346130024553,21.355178114981896,-19.832925308645542,414.69113610144035,224.61401960979967,415.09011637551697,637.3612445821761,237084531.28459293,0.010631823214290391
LIRF,21,1312,1184.1044207317073,1210.3099457944254,-26.205525062718085,-57.560701285086566,422.52900209900156,258.0986794781468,423.18011754573087,676.9199798991012,234954812.3944564,0.010536318060017435
LTFM,16,2759,1150.8281986226893,1116.7336453765408,34.094553246148486,-1.7796806733288122,288.2470231269703,203.6266107974786,290.2045317406872,595.6881577677143,232359311.19997215,0.010419925355260535
EGLL,16,2638,1484.8866565579985,1508.1918477976856,-23.305191239686934,-24.261037662133504,294.8345283215516,188.12211637714867,295.69845961816765,481.11183578143886,230660333.4562297,0.010343736365120131
LIRF,9,1628,1445.5859950859951,1412.7231850029373,32.86281008305765,13.103613933382576,371.2967230035984,250.8818969414452,372.63459238008403,740.9232359147514,226058446.2055058,0.010137369246031022
LIRF,19,1301,1101.3781706379707,1103.4927730481866,-2.1146024102157686,-33.60751356452079,416.15768814993464,228.4093987098479,416.0030942300618,682.7939569928385,225149205.30609035,0.010096595229905173
LIRF,15,1165,1055.0600858369098,1054.2564540920196,0.8036317448902207,-25.09446135599535,435.7823728752804,248.3087991638222,435.596042972597,679.4623499438612,221051658.24119306,0.00991284475166782
EGLL,15,2612,1506.1745788667688,1530.458016208302,-24.28343734153332,-26.072134600742515,289.6275911415251,189.54077771249888,290.58856132141995,513.3527209106146,220561751.66786706,0.009890875372008594
EGLL,9,2559,1469.5084017194217,1470.0664458448982,-0.5580441254763611,-3.391473681805792,293.61341473082535,191.07359644625595,293.5565707602239,502.42607307258453,220523002.74520952,0.009889137714586547
LTFM,13,2850,1160.5308771929824,1127.325483318534,33.205393874448276,11.669279984972093,273.0770416348854,202.13315256623534,275.04091252478145,528.0850831033644,215595385.15302372,0.009668163537891489
LTFM,9,2303,1059.420755536257,1043.1617017908966,16.25905374536053,-22.972919765845063,302.2014631646913,197.64541223654487,302.5730094621224,566.4374745870758,210840631.20458582,0.009454941261712875
LFPG,15,2072,994.653474903475,972.8876470361674,21.765827867307365,-12.197094760907987,316.520264129704,182.90470678590495,317.19154622413254,496.74569922209344,208464908.335828,0.009348404300360215
EGLL,14,2536,1508.1218454258676,1514.377835010513,-6.255989584645639,-16.36537234346548,283.51531921378006,187.55562355086147,283.52844245649,495.6334744061161,203864925.8010528,0.00914212259638921
