AIRCRAFT_TYPE_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
E75L,3015,690.9436152570481,688.2799424222295,2.6636728348184477,-8.710171891650589,165.65021262927738,101.18452745582461,165.64415757452375,281.82881973123193,82725530.61979957,0.0037097452629767246
B748,1005,1214.1373134328358,1225.7752900072142,-11.637976574378365,-33.53771517444534,277.1987858013715,180.936672050323,277.30516126834505,486.9980360822176,77282643.22839318,0.0034656643176397247
A306,827,1036.4292623941958,1029.7983508860946,6.630911508101213,-16.795158300128833,280.5654056528863,179.71539306610987,280.4741202036478,511.5613009771915,65056560.450016476,0.0029173976298103588
AT76,803,677.7222914072229,683.7201101647366,-5.997818757513734,-18.941530240444763,262.72354300058646,158.90676067229225,262.62840029441475,510.94055894106316,55385862.3428863,0.0024837246606095108
B744,693,1179.8037518037518,1189.6322500265205,-9.82849822276877,-25.38284605928709,265.81337494598665,182.5206596744581,265.803295474021,510.2463405617629,48961414.57620085,0.0021956266032003933
E170,1030,853.3368932038835,850.7914716993998,2.545421504483642,-12.643969378604766,201.42645357503392,137.3739560066941,201.34474038557946,384.655428021692,41755895.615364484,0.0018725021743574556
DH8D,716,677.036312849162,680.0081937222666,-2.9718808731047033,-17.739969384390008,241.2745547079059,141.52860383760742,241.1243230765491,387.74157370404055,41628912.452252805,0.0018668077389842168
B752,601,957.532445923461,988.3585948447544,-30.82614892129358,-38.044285141799946,254.90567242439928,163.08227060370717,256.5522142686323,432.1841982207018,39557242.22632907,0.0017739057201093924
B39M,666,1041.1336336336337,1047.4214274103158,-6.287793776682311,-16.63779070145938,226.95985080186102,153.65401165145872,226.87654511267309,443.22354208758577,34280995.83702701,0.0015372976270290365
C56X,652,734.5904907975461,763.0853073577205,-28.494816560174378,-27.128266415442724,225.27188790062934,168.18656519933995,226.89544856060732,478.6429736823236,33565967.06454252,0.0015052328632041
SU95,532,1007.3721804511279,1000.6241518789132,6.748028572214562,-6.352841844164345,248.67260762286372,177.7984904806708,248.53041002221556,493.40916725472334,32860238.023491234,0.0014735851367118085
A310,397,894.6952141057934,887.656595617965,7.038618487828534,-8.09907665180674,280.83286345831885,186.40350307616333,280.56724982230867,523.0730586095632,31251038.72412294,0.0014014221728324546
A318,639,926.5226917057903,942.5887818065922,-16.06609010080188,-32.60352765086475,220.07193921798603,144.15952883601673,220.48579271598996,399.9550031637906,31064336.280553434,0.00139304968491453
CL35,367,741.3896457765668,737.5593474919858,3.830298284581071,-22.035582757996053,278.2962883880753,161.8396432639946,277.9432731641264,444.4187926965576,28351653.956668064,0.0012714021073698793
E55P,597,684.1273031825796,702.3343614685851,-18.207058286005665,-30.063538211944092,204.81942229061812,151.85548112233872,205.45613411206222,410.3691110113386,25200697.157431394,0.0011301005409461418
GLEX,390,913.7051282051282,918.7028356187157,-4.997707413587362,-27.383835996315185,251.9842017531707,169.22538622704582,251.71055730521047,454.20600911884486,24709699.81697086,0.001108082246904862
CL60,427,651.4449648711944,648.6547826262247,2.790182244969633,-8.244697263288401,237.87694749943117,153.17094507257946,237.61462216942903,472.3107209219041,24108722.601543657,0.0010811320132661745
C68A,503,811.8131212723658,821.4204505164922,-9.607329244126475,-11.706698532794917,214.58884388547904,156.54003408768213,214.59059913292066,423.49180226368236,23162709.993821602,0.0010387090059561048
AT72,315,1037.888888888889,1035.1833015462653,2.7055873426237564,-5.482557817855422,240.21649541632868,174.34395123705465,239.85015673028593,454.62946155568306,18121350.77031596,0.0008126341973904419
E35L,291,825.3230240549829,820.2222932005386,5.100730854444186,-22.02067229731199,248.36355033191018,173.86942641772552,247.98890403195463,418.8603946809876,17896062.488184273,0.0008025313653967338
E290,586,735.9692832764505,741.5318511297554,-5.562567853304887,-18.149125011384,172.4045504847891,127.3751445168181,172.34717515671795,327.08636540824,17406279.587717243,0.0007805675317255395
C25A,287,827.6132404181185,842.3241890968633,-14.710948678744769,-36.60233771931644,238.12444153215682,177.22072993905596,238.1639967912463,489.9935395957848,16279239.64849568,0.0007300265313307704
GLF6,223,924.6233183856502,933.261964661376,-8.638646275725776,-28.579308134322105,254.81140618376924,186.00037536237872,254.38615952188073,495.85279173607233,14430846.94885306,0.000647137174076182
F2TH,280,903.9785714285714,886.3311505273135,17.647420901257984,1.8190580075497422,217.82431958539607,149.7278044307815,218.14997259948007,317.5292854893138,13325034.952643095,0.0005975481199601494
A346,301,1098.6013289036546,1067.8807323371816,30.720596566472715,4.298664489412658,207.2138334788144,151.77477748853252,209.1379403525675,440.129592713826,13165342.106569137,0.000590386850944217
E75S,274,863.5109489051094,893.1886680136924,-29.67771910858303,-49.932748751206475,213.6033324089116,140.33492372781632,215.2687412966538,359.2016039143036,12697332.888368111,0.0005693994366932269
PC12,320,620.853125,633.7086024472244,-12.855477447224427,-22.9210776922815,197.35508434361128,146.80756119812713,197.46538152308284,376.5101533068351,12477624.608018132,0.0005595468344051732
E145,203,1002.448275862069,1045.8057473129586,-43.35747145088987,-52.397093832930295,239.1632536176299,166.98509003858604,242.48126408827287,405.9908883248337,11935824.177070886,0.0005352503256112576
CRJ2,282,721.3617021276596,739.504518151791,-18.142816024131534,-24.590346531097865,202.28971165469596,142.86650689802465,202.74412157600986,416.43062388836756,11591660.431083057,0.0005198166400633877
PC24,254,683.5472440944882,701.7212037431891,-18.17395964870101,-18.79404932977792,203.35357869172105,141.5216931910049,203.76497480498443,381.7400737796349,10546121.89914809,0.0004729304903216408
