airport,STAND_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
EHAM,A82,261,667.1187739463602,676.0721562755983,-8.953382329238192,-4.950764487538208,130.4174137102146,93.74418613591703,130.47489189170616,276.5553426281375,4443185.025093779,0.00019925027347513557
EHAM,D14,170,763.5588235294117,761.2555086382745,2.3033148911371146,-2.6005018166140133,161.8598467296797,104.37578123071653,161.3995222184775,322.7365957163251,4428466.981299979,0.00019859025724030144
LEMD,388,125,950.288,948.1740212203754,2.113978779624601,-13.088739608142077,188.9139440656477,130.4566594679194,188.16864601367536,289.5646235940645,4425929.917827482,0.0001984764851178569
LTFM,304,74,947.2162162162163,943.1499890702642,4.066227145952152,-14.354796144216607,245.9320174934742,140.8508464586483,244.29850506537082,301.26958307686607,4416450.208710951,0.0001980513768625702
LEMD,42,73,939.6164383561644,970.3163874907046,-30.699949134540336,-49.67608152233731,245.52614615096658,161.18493826101505,245.7636661276501,403.6120794826022,4409183.909960724,0.00019772552682369992
LFPG,L39,120,1301.925,1322.9448896782628,-21.01988967826278,-42.550930646427446,191.17683236429053,148.58431874474937,191.53549405960422,400.6908674649601,4402301.458158802,0.0001974168900246543
EDDM,518,133,676.1127819548872,668.8308855522646,7.28189640262258,-9.60279215631374,182.36999745914602,141.3744494982355,181.82897377193302,393.33088008365775,4397216.168492923,0.0001971888451984982
LEMD,T31,237,1031.1181434599157,1040.116498356897,-8.9983548969814,-16.15700933148105,136.03852533565058,106.66012055543591,136.04912477213506,284.5452516822782,4386719.351249563,0.00019671812572709518
EDDF,V128,146,836.6643835616438,844.3127748728102,-7.648391311166434,-24.1491680784672,173.38108462647142,139.58975916984474,172.95548887548762,311.8902063572773,4367385.765295202,0.00019585113003213646
EDDM,586,84,685.797619047619,661.3094633173232,24.488155730295905,0.3150427714120383,227.72427577640053,143.36876966754602,227.68542836487538,343.15477792836566,4354614.960334531,0.0001952784358124404
LEBL,278,94,742.5957446808511,708.1047095799663,34.49103510088465,-9.860087694116487,213.12092202965033,133.9975919981942,214.7718831901111,320.3087825958817,4335934.410048513,0.00019444072486136954
EDDF,F237,91,917.032967032967,914.0505842864835,2.982382746483575,-69.79076353416394,219.1522042999455,168.51434340229457,217.96514964100373,430.21142586711386,4323301.387680288,0.00019387420936686049
LTFM,F3,53,1082.3396226415093,1061.6702490993757,20.66937354213347,-25.710211246122867,287.36833786532884,194.2615959524041,285.39386960162847,461.0290176498138,4316832.02272814,0.00019358409704233514
EHAM,D92,75,763.4266666666666,730.849925861136,32.576740805530754,-10.70014861320567,239.0057920957643,132.21135259322799,239.6317225412712,353.89185726275343,4306752.183607259,0.0001931320765457594
LTFM,141,77,1136.025974025974,1138.2076164135206,-2.1816423875463427,9.646188185284473,237.18276054352873,190.29381978903712,235.64767864521832,472.69275246489553,4275796.790717767,0.00019174391232033836
EDDM,353,115,938.3739130434783,897.1402434228839,41.233669620594235,24.357195291674316,188.80368668312104,140.2353301982758,192.45018878252702,399.2435022532756,4259263.643679484,0.0001910024995612078
EHAM,E05,100,1057.18,1050.2126383182856,6.967361681714273,9.523950138936925,207.28948619661193,150.4135864092085,206.3680835439013,481.06495050034755,4258778.590558263,0.00019098074782984673
EHAM,S82,58,1039.8793103448277,1074.4008813014148,-34.521570956587276,-23.147168733024387,270.88224291808916,171.28335201843637,270.74675331804127,497.0272290448402,4251620.657071096,0.0001906597573248869
LTFM,220,63,1240.079365079365,1224.243840996632,15.835524082733134,-25.97490254883985,261.35749155588263,187.11134644955894,259.75806512908497,486.280396160076,4250877.901175175,0.00019062644916541306
EGLL,423,75,1317.16,1361.1680576573522,-44.00805765735223,-32.59095392022459,235.48422702702726,176.85824264961715,238.0129394975039,532.3536060161105,4248761.9526181845,0.0001905315615282207
LEBL,119A,55,1416.581818181818,1448.3696965756305,-31.787878393812555,-93.88368218754886,278.20468528692703,202.93946017842686,277.490689119643,564.3712734226945,4235059.540145189,0.00018991709028358557
EDDM,522,120,699.975,662.3005365822647,37.67446341773527,17.29000706168796,184.63049532254914,138.10206893346955,187.6798199909588,391.5390261805772,4226845.779820643,0.00018954875225991972
EDDF,D1A,147,1004.7414965986394,990.6693872182238,14.072109380415675,2.367646601951037,169.28142815210296,124.45510727721513,169.2905373331105,404.94436428419954,4212915.046488393,0.0001889240421903449
LEMD,502,104,779.3173076923077,783.0894539291543,-3.7721462368464813,-9.860811181429767,202.16616162836968,126.01728657996566,201.22722008077946,389.1677318993438,4211208.986549599,0.00018884753560611538
LTFM,310,50,980.9,989.772680159046,-8.87268015904607,-47.432298089254346,292.76752538189584,194.61707272184486,289.96084544827596,539.1592075498992,4203864.594653949,0.00018851818355675165
EHAM,A61,219,695.310502283105,672.5040393131594,22.80646296994571,4.0262176341447,136.91780930766086,96.03301596672604,138.49556261413468,270.47016523938686,4200643.56917345,0.0001883737398290574
EGLL,568,79,1301.26582278481,1387.8623331322012,-86.59651034739126,-95.33212592880682,214.751131584954,178.95829033582558,230.2894512463084,438.16174146578925,4189625.2770707426,0.00018787963532917852
EHAM,S84,64,1070.140625,1074.8803191327409,-4.739694132740993,-22.088066721478185,257.81346053229964,169.62886529896522,255.83527134245423,471.4462625903523,4188907.9080235,0.00018784746561802796
LSZH,502,108,815.175925925926,776.5583267588897,38.61759916703608,53.381327259268915,193.809936591079,151.11009170327648,196.737925909813,396.51125085834343,4180227.6410598676,0.00018745820756179736
LEMD,14,96,776.7083333333334,784.198308306557,-7.489974973223579,-34.922003746145606,209.4471938527884,144.639361579466,208.4880502127727,406.9844431849323,4172857.639826268,0.00018712770708679728
EDDF,E5A,93,1046.6236559139784,1049.7705641222376,-3.146908208259151,5.6800828353027555,212.85102229387027,146.25759249334965,211.72695668832338,405.5057382806794,4169032.289530422,0.00018695616300563008
LTFM,K56,53,835.2264150943396,856.8729775058731,-21.646562411533267,-30.559081594972554,281.7833662977568,168.3044840989305,279.9505148776385,572.7072576485562,4153731.41135351,0.00018627001013467347
LEMD,384,112,1000.7589285714286,972.5877159664442,28.17121260498438,21.398934436237653,191.27753875574993,134.13857233635437,192.49426886185464,434.2259868421661,4150052.8770019175,0.00018610504987049293
EDDF,V130,158,845.7151898734177,864.178514288213,-18.463324414795178,-38.2056041507596,161.4945084562356,119.74476566392622,162.037971798324,327.1829638814926,4148496.080113283,0.00018603523684131368
EDDM,329,142,857.1056338028169,855.0192688529355,2.08636494988136,-11.127863019969027,171.22223790334263,124.19578782606084,170.63103334174644,321.6808683646139,4134322.8345766505,0.00018539965154984936
LSZH,101,82,495.0243902439024,509.7919352010768,-14.767544957174328,-39.173824896512144,225.20042216544766,165.3071305051644,224.30967904032565,428.88840318621874,4125816.2331162607,0.00018501818135273755
EDDF,D5,103,1193.116504854369,1217.1039030721818,-23.987398217812775,-41.23997328763994,199.63411322630347,157.6433363108704,200.10558348561827,387.0307243608691,4124351.187838333,0.00018495248283452779
