airport,bin,state
EDDF,5786083,2
EDDF,5786084,2
EDDF,5786085,2
EDDF,5786086,0
EDDF,5786087,0
EDDF,5786088,0
EDDF,5786089,0
EDDF,5786090,0
EDDF,5786091,0
EDDF,5786092,0
EDDF,5786093,0
EDDF,5786094,0
EDDF,5786095,0
EDDF,5786096,0
EDDF,5786097,0
EDDF,5786098,0
EDDF,5786099,0
EDDF,5786100,0
EDDF,5786101,0
EDDF,5786102,0
EDDF,5786103,0
EDDF,5786104,0
EDDF,5786105,0
EDDF,5786106,0
EDDF,5786107,0
EDDF,5786108,0
EDDF,5786109,0
EDDF,5786110,0
EDDF,5786111,0
EDDF,5786112,0
EDDF,5786113,0
EDDF,5786114,0
EDDF,5786115,0
EDDF,5786116,0
EDDF,5786117,0
EDDF,5786118,0
EDDF,5786119,0
EDDF,5786120,0
EDDF,5786121,0
EDDF,5786122,0
EDDF,5786123,0
EDDF,5786124,0
EDDF,5786125,0
EDDF,5786126,0
EDDF,5786127,0
EDDF,5786128,0
EDDF,5786129,0
EDDF,5786130,0
EDDF,5786131,0
EDDF,5786132,0
EDDF,5786133,0
EDDF,5786134,0
EDDF,5786135,0
EDDF,5786136,0
EDDF,5786137,0
EDDF,5786138,0
EDDF,5786139,0
EDDF,5786140,0
EDDF,5786141,0
EDDF,5786142,0
EDDF,5786143,0
EDDF,5786144,0
EDDF,5786145,0
EDDF,5786146,0
EDDF,5786147,0
EDDF,5786148,0
EDDF,5786149,0
EDDF,5786150,0
EDDF,5786151,0
EDDF,5786152,0
EDDF,5786153,0
EDDF,5786154,0
EDDF,5786155,0
EDDF,5786156,0
EDDF,5786157,0
EDDF,5786158,0
EDDF,5786159,0
EDDF,5786160,0
EDDF,5786161,0
EDDF,5786162,0
EDDF,5786163,0
EDDF,5786164,0
EDDF,5786165,0
EDDF,5786166,0
EDDF,5786167,0
EDDF,5786168,0
EDDF,5786169,0
EDDF,5786170,0
EDDF,5786171,0
EDDF,5786172,0
EDDF,5786173,0
EDDF,5786174,0
EDDF,5786175,0
EDDF,5786176,0
EDDF,5786177,0
EDDF,5786178,0
EDDF,5786179,0
EDDF,5786180,0
EDDF,5786181,0
EDDF,5786182,0
EDDF,5786183,0
EDDF,5786184,0
EDDF,5786185,0
EDDF,5786186,0
EDDF,5786187,0
EDDF,5786188,3
EDDF,5786189,3
EDDF,5786190,3
EDDF,5786191,3
EDDF,5786192,3
EDDF,5786193,4
EDDF,5786194,4
EDDF,5786195,4
EDDF,5786196,4
EDDF,5786197,4
EDDF,5786198,4
EDDF,5786199,4
EDDF,5786200,4
EDDF,5786201,4
EDDF,5786202,4
EDDF,5786203,4
EDDF,5786204,3
EDDF,5786205,3
EDDF,5786206,3
EDDF,5786207,1
EDDF,5786208,1
